original_publisher	modified_publisher
Z. Hæggström	Z. Häggströmsexp
Z. Hæggström-exp	Z. Häggströmsexp
Z. Hæggströms	Z. Häggströmsexp
Z. Hæggströms f.-exp	Z. Häggströmsexp
Z. Hæggströms F.-exp	Z. Häggströmsexp
Z. Hæggströms f.-exped	Z. Häggströmsexp
Z. Hæggströms f.exp	Z. Häggströmsexp
Z. Hæggströmsexp.	Z. Häggströmsexp
A.L. Norman-exp	A.L. Normansexp
A.L. Normans f.-exp	A.L. Normansexp
A.L. Normans F.-exp	A.L. Normansexp
A.L. Normansexp.	A.L. Normansexp
Kultis	Kultis-
Ungdomsstjärna	Ungdomsstjärnan
Ungdomstjärnan	Ungdomsstjärnan
A.V. Carlsons aktb	A.V. Carlsons -aktb
C.O. Ekblad & Comp	C.O. Ekblad & Co
C.O. Ekeblad & Co	C.O. Ekblad & Co
Falköping tidning	Falköpings tidning
Falköpings tidnings	Falköpings tidning
Folkupplysningsföretagetc 1898	Folkupplysningsföretaget
Suomalainen tiedeakat	Suomalainen tiedeakatemia
Suomalainen tiedeakateemia	Suomalainen tiedeakatemia
Suomalianen tiedeakatemia	Suomalainen tiedeakatemia
svenska vattenkraftförening	Svenska vattenkraftförening
Billstén	Billsten
